,CO1,CO2,CO3,CO1 R:02_0_D,CO2 R:02_0_D,CO3 R:02_0_D,.BRCOMN,.BRCOML,.BRCOMS,.BRMMN,.BRMML,.BRMMS
2019-04-02,69.37,68.93,68.6,16.94,25.07,29.85,-662203.0,747726.0,1409929.0,160035.0,454291.0,294256.0
2019-04-03,69.31,68.91,68.59,16.88,25.05,29.84,,,,,,
2019-04-04,69.4,69.02,68.69,16.97,25.16,29.94,,,,,,
2019-04-05,70.34,69.93,69.57,17.91,26.07,30.82,,,,,,
2019-04-08,71.1,70.61,70.21,18.67,26.75,31.46,,,,,,
2019-04-09,70.61,70.16,69.78,18.18,26.3,31.03,-686946.0,757293.0,1444239.0,165722.0,452255.0,286533.0
2019-04-10,71.73,71.3,70.92,19.3,27.44,32.17,,,,,,
2019-04-11,70.83,70.4,70.03,18.4,26.54,31.28,,,,,,
2019-04-12,71.55,71.06,70.65,19.12,27.2,31.9,,,,,,
2019-04-15,71.18,70.74,70.36,18.75,26.88,31.61,,,,,,
2019-04-16,71.72,71.21,70.77,19.29,27.35,32.02,-692855.0,770284.0,1463139.0,182941.0,463858.0,280917.0
2019-04-17,71.62,71.09,70.64,19.19,27.23,31.89,,,,,,
2019-04-18,71.97,71.43,70.96,19.54,27.57,32.21,,,,,,
2019-04-22,74.04,73.39,72.81,21.61,29.53,34.06,,,,,,
2019-04-23,74.51,73.89,73.33,22.08,30.03,34.58,-698496.0,763647.0,1462143.0,185639.0,480523.0,294884.0
2019-04-24,74.57,73.84,73.26,22.14,29.98,34.51,,,,,,
2019-04-25,74.35,73.63,72.99,21.92,29.77,34.24,,,,,,
2019-04-26,72.15,71.63,71.0,19.72,27.77,32.25,,,,,,
2019-04-29,72.04,71.54,70.92,19.63,27.69,32.19,,,,,,
2019-04-30,72.8,72.06,71.45,20.15,28.22,32.71,-674165.0,691921.0,1366086.0,179193.0,486830.0,307637.0
2019-05-01,72.18,71.5,70.95,20.27,28.27,32.75,,,,,,
2019-05-02,70.75,70.02,69.43,18.84,26.79,31.23,,,,,,
2019-05-03,70.85,70.03,69.37,18.94,26.8,31.17,,,,,,
2019-05-06,71.24,70.37,69.68,19.33,27.14,31.48,,,,,,
2019-05-07,69.88,69.07,68.42,17.97,25.84,30.22,-671901.0,693526.0,1365427.0,191672.0,484853.0,293181.0
2019-05-08,70.37,69.62,69.02,18.46,26.39,30.82,,,,,,
2019-05-09,70.39,69.48,68.79,18.48,26.25,30.59,,,,,,
2019-05-10,70.62,69.64,68.88,18.71,26.41,30.68,,,,,,
2019-05-13,70.23,69.31,68.58,18.32,26.08,30.38,,,,,,
2019-05-14,71.24,70.31,69.56,19.33,27.08,31.36,-668060.0,702027.0,1370087.0,173266.0,473108.0,299842.0
2019-05-15,71.77,70.9,70.16,19.86,27.67,31.96,,,,,,
2019-05-16,72.62,71.7,70.89,20.71,28.47,32.69,,,,,,
2019-05-17,72.21,71.26,70.44,20.3,28.03,32.24,,,,,,
2019-05-20,71.97,71.16,70.38,20.06,27.93,32.18,,,,,,
2019-05-21,72.18,71.31,70.51,20.27,28.08,32.31,-669846.0,786156.0,1456002.0,175937.0,474353.0,298416.0
2019-05-22,70.99,69.99,69.13,19.08,26.76,30.93,,,,,,
2019-05-23,67.76,66.5,65.56,15.85,23.27,27.36,,,,,,
2019-05-24,68.69,67.47,66.52,16.78,24.24,28.32,,,,,,
2019-05-27,70.11,68.77,67.8,18.2,25.54,29.6,,,,,,
2019-05-28,70.11,68.67,67.73,18.2,25.44,29.53,-623105.0,760359.0,1383464.0,148056.0,452427.0,304371.0
2019-05-29,69.45,67.87,66.98,17.54,24.64,28.78,,,,,,
2019-05-30,66.87,65.33,64.53,15.0,22.19,26.44,,,,,,
2019-05-31,64.49,61.99,61.16,11.66,18.82,23.08,,,,,,
2019-06-03,61.28,60.46,59.99,10.95,18.12,22.4,,,,,,
2019-06-04,61.97,61.08,60.51,11.64,18.74,22.92,-551846.0,805855.0,1357701.0,92705.0,400718.0,308013.0
2019-06-05,60.63,59.53,58.87,10.3,17.19,21.28,,,,,,
2019-06-06,61.67,60.52,59.82,11.34,18.18,22.23,,,,,,
2019-06-07,63.29,62.18,61.5,12.96,19.84,23.91,,,,,,
2019-06-10,62.29,61.34,60.79,11.96,19.0,23.2,,,,,,
